rank_v3,file,pair,timeframe,year,direction,ohlcv_direction_v2,direction_match_v2,quality,quality_v3,decision_v3,score,final_score_v3,confidence_score_v3,spatial_score_v3,ohlcv_score_v3,structure_score_v3,alignment_score_v3,ob_conf,fvg_conf,x_distance,y_distance,local_structure_score,impulse_body_ratio_v2,distance_from_prediction,matched_ob_idx,matched_impulse_idx,matched_fvg_idx,start_datetime,end_datetime,clean_image_path,rank,ob_x,ob_y,ob_w,ob_h,fvg_x,fvg_y,fvg_w,fvg_h,image_id,preview_image_path,label_path,ob_count,fvg_count,object_count,status,ohlcv_status,window_candles,approx_ob_idx,ob_candle_direction_v2,impulse_candle_direction_v2,gap_size_v2,cnn_label,cnn_confidence,prob_bearish,prob_bullish,prob_sideways,setup_direction_v4,cnn_alignment,cnn_context_score,base_score_v3,final_score_v4,quality_v4,decision_v4,cnn_missing,direction_conflict,ohlcv_path_v5,liquidity_present_v5,liquidity_confirmed_v5,liquidity_score_v5,sweep_distance_v5,penetration_atr_v5,confirmation_type_v5,bos_present_v5,choch_present_v5,structure_alignment_v5,market_structure_score_v5,zone_status_v5,zone_fresh_v5,zone_mitigated_v5,zone_touch_count_v5,zone_score_v5,zone_low_v5,zone_high_v5,market_context_score_v5,structure_error_v5
11,gbpusd_m15_2025_20250109_060000_0006.txt,GBPUSD,M15,2025,bullish_candidate,bullish_candidate,True,MEDIUM,HIGH,ACCEPT,0.6702866,0.7880882,0.5622335,0.8757166666666667,1.0,0.717136,0.65,0.660401,0.464066,0.009244,0.06361,0.608923,0.918103,3.0,34.0,35.0,36.0,2025-01-09 06:00:00,2025-01-10 06:45:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m15_2025_20250109_060000_0006.png,1,0.370463,0.609337,0.0229695,0.0821449,0.379707,0.545727,0.0398074,0.0455317,gbpusd_m15_2025_20250109_060000_0006,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m15_2025_20250109_060000_0006.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m15_2025_20250109_060000_0006.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,37,bearish,bullish,0.0006,sideways,0.5597713589668274,0.3807421326637268,0.0594865158200264,0.5597713589668274,bullish,0.55,0.4289371237158775,0.7880882,0.7162579847431756,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\M15\2025\GBPUSD_M15_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,mitigated,False,True,6,0.25,1.22697,1.22809,0.32499999999999996,
12,gbpusd_h4_2025_20251009_000000_0013.txt,GBPUSD,H4,2025,bullish_candidate,bullish_candidate,True,LOW,HIGH,ACCEPT,0.643751525,0.7871140750000001,0.521203,0.8719124166666672,1.0,0.74834645,0.65,0.536932,0.505474,0.0091269999999999,0.067414,0.710957,0.817784,4.0,21.0,22.0,23.0,2025-10-09 00:00:00,2025-10-31 12:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_h4_2025_20251009_000000_0013.png,1,0.25405,0.529417,0.0237682,0.0755547,0.263177,0.462003,0.0380561,0.0594631,gbpusd_h4_2025_20251009_000000_0013,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_h4_2025_20251009_000000_0013.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_h4_2025_20251009_000000_0013.txt,2,2,4,auto_labeled_v5_paired_ob_fvg,ok,100,25,bearish,bullish,0.00281,bearish,0.6536369323730469,0.6536369323730469,0.0561821572482585,0.2901809215545654,bullish,0.0,0.0,0.7871140750000001,0.6296912600000001,MEDIUM,REVIEW,False,True,ai\datasets\raw\ohlcv\GBPUSD\H4\2025\GBPUSD_H4_2025_RAW.csv,True,False,0.65,31.0,0.15670506411651147,,False,True,True,0.75,mitigated,False,True,5,0.25,1.32478,1.32832,0.585,
13,xauusd_h4_2025_20250917_080000_0012.txt,XAUUSD,H4,2025,bearish_candidate,bearish_candidate,True,LOW,MEDIUM,REVIEW,0.5711539499999997,0.78402425,0.392777,0.8795641666666666,1.0,0.9341369,0.4,0.417246,0.368308,0.007586,0.06801,0.948979,0.906573,5.0,97.0,98.0,99.0,2025-09-17 08:00:00,2025-10-09 20:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_h4_2025_20250917_080000_0012.png,1,0.931487,0.115581,0.0213482,0.043596,0.939073,0.183591,0.0409851,0.0956449,xauusd_h4_2025_20250917_080000_0012,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_h4_2025_20250917_080000_0012.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_h4_2025_20250917_080000_0012.txt,0,0,0,auto_labeled_v5_paired_ob_fvg,ok,100,92,bullish,bearish,51.53,bullish,0.8619227409362793,0.0123699763789772,0.8619227409362793,0.1257072687149047,bearish,0.0,0.0,0.78402425,0.59,LOW,WATCHLIST,False,True,ai\datasets\raw\ohlcv\XAUUSD\H4\2025\XAUUSD_H4_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,mitigated,False,True,2,0.25,4033.5,4053.6,0.32499999999999996,
14,xauusd_h1_2025_20250114_170000_0003.txt,XAUUSD,H1,2025,bullish_candidate,bullish_candidate,True,LOW,HIGH,ACCEPT,0.6297911,0.7819060874999999,0.5119735000000001,0.8557783333333332,1.0,0.7445785500000001,0.65,0.576709,0.447238,0.009496,0.0795300000000001,0.696995,0.832948,4.0,23.0,24.0,25.0,2025-01-14 17:00:00,2025-01-21 03:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_h1_2025_20250114_170000_0003.png,1,0.272841,0.695961,0.0253664,0.0831791,0.282337,0.616431,0.0400362,0.0750832,xauusd_h1_2025_20250114_170000_0003,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_h1_2025_20250114_170000_0003.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_h1_2025_20250114_170000_0003.txt,2,2,4,auto_labeled_v5_paired_ob_fvg,ok,100,27,bearish,bullish,5.38,bullish,0.6869456768035889,0.0174022149294614,0.6869456768035889,0.2956521511077881,bullish,1.0,0.8434728384017944,0.7819060874999999,0.7942194376803589,HIGH,ACCEPT,False,False,ai\datasets\raw\ohlcv\XAUUSD\H1\2025\XAUUSD_H1_2025_RAW.csv,False,False,0.0,,0.0,,True,False,True,0.7,fresh,True,False,0,1.0,2676.66,2682.97,0.495,
15,gbpusd_m5_2025_20250102_164000_0003.txt,GBPUSD,M5,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.5396914250000001,0.7751404375000001,0.3230389999999999,0.9004400833333339,1.0,0.7618665,0.85,0.266048,0.38003,0.0086349999999999,0.045246,0.641925,0.984615,1.0,63.0,64.0,65.0,2025-01-02 16:40:00,2025-01-03 00:55:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m5_2025_20250102_164000_0003.png,1,0.628939,0.632677,0.0231964,0.057937,0.637574,0.587431,0.0411337,0.0330033,gbpusd_m5_2025_20250102_164000_0003,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m5_2025_20250102_164000_0003.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m5_2025_20250102_164000_0003.txt,0,0,0,auto_labeled_v5_paired_ob_fvg,ok,100,62,bearish,bullish,0.00022,bearish,0.4924438595771789,0.4924438595771789,0.0599968135356903,0.4475592672824859,bullish,0.0,0.0,0.7751404375000001,0.6201123500000001,MEDIUM,REVIEW,False,True,ai\datasets\raw\ohlcv\GBPUSD\M5\2025\GBPUSD_M5_2025_RAW.csv,True,True,1.0,9.0,0.31866464339928563,CHOCH,True,True,True,1.0,mitigated,False,True,3,0.25,1.2367,1.23705,0.8125,
16,xauusd_h1_2025_20250328_010000_0015.txt,XAUUSD,H1,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.621275625,0.7726187375,0.4664129999999999,0.8910252500000005,1.0,0.7227294,0.65,0.426513,0.506313,0.0074509999999999,0.058813,0.653953,0.850457,4.0,24.0,25.0,26.0,2025-03-28 01:00:00,2025-04-03 09:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_h1_2025_20250328_010000_0015.png,1,0.281299,0.688622,0.0238483,0.0881197,0.28875,0.629809,0.038139,0.0302108,xauusd_h1_2025_20250328_010000_0015,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_h1_2025_20250328_010000_0015.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_h1_2025_20250328_010000_0015.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,28,bearish,bullish,4.27,bullish,0.6295744776725769,0.018033118918538,0.6295744776725769,0.3523924350738525,bullish,1.0,0.8147872388362885,0.7726187375,0.7810524377672577,HIGH,ACCEPT,False,False,ai\datasets\raw\ohlcv\XAUUSD\H1\2025\XAUUSD_H1_2025_RAW.csv,False,False,0.0,,0.0,,True,False,True,0.7,mitigated,False,True,10,0.25,3077.44,3089.59,0.3075,
17,gbpusd_h1_2025_20250303_010000_0011.txt,GBPUSD,H1,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.5039173,0.7677077375000001,0.272679,0.8897863333333338,1.0,0.95881595,0.4,0.27718,0.268178,0.0088679999999999,0.053296,0.967679,0.942356,6.0,9.0,10.0,11.0,2025-03-03 01:00:00,2025-03-07 04:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_h1_2025_20250303_010000_0011.png,1,0.147431,0.869765,0.0249242,0.0539343,0.156299,0.816469,0.0451954,0.053965,gbpusd_h1_2025_20250303_010000_0011,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_h1_2025_20250303_010000_0011.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_h1_2025_20250303_010000_0011.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,15,bearish,bullish,0.00236,bullish,0.7690358757972717,0.0390202552080154,0.7690358757972717,0.1919439435005188,bullish,1.0,0.8845179378986359,0.7677077375000001,0.7910697775797273,HIGH,ACCEPT,False,False,ai\datasets\raw\ohlcv\GBPUSD\H1\2025\GBPUSD_H1_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,fresh,True,False,0,1.0,1.25816,1.26043,0.5125,
18,xauusd_m15_2025_20250129_161500_0019.txt,XAUUSD,M15,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.6134536749999999,0.767685475,0.441371,0.9051569166666666,1.0,0.71455095,0.65,0.38505,0.497692,0.007641,0.045818,0.735461,0.675718,4.0,20.0,21.0,22.0,2025-01-29 16:15:00,2025-01-30 18:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_m15_2025_20250129_161500_0019.png,1,0.246915,0.867653,0.0258525,0.0573154,0.254556,0.821835,0.0427223,0.0389675,xauusd_m15_2025_20250129_161500_0019,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_m15_2025_20250129_161500_0019.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_m15_2025_20250129_161500_0019.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,24,bearish,bullish,2.58,bullish,0.7095740437507629,0.1361343562602996,0.7095740437507629,0.1542916148900985,bullish,1.0,0.8547870218753815,0.767685475,0.7851057843750764,HIGH,ACCEPT,False,False,ai\datasets\raw\ohlcv\XAUUSD\M15\2025\XAUUSD_M15_2025_RAW.csv,True,True,1.0,1.0,0.9707446808509694,CHOCH,True,True,True,1.0,fresh,True,False,0,1.0,2744.83,2748.44,1.0,
19,gbpusd_m15_2025_20250110_070000_0007.txt,GBPUSD,M15,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.550048525,0.7539909250000001,0.325961,0.9164230833333332,1.0,0.84534105,0.4,0.271991,0.379931,0.007503,0.036802,0.841329,0.852792,6.0,7.0,8.0,9.0,2025-01-10 07:00:00,2025-01-13 08:45:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m15_2025_20250110_070000_0007.png,1,0.13001,0.291919,0.0228098,0.0456612,0.137513,0.255117,0.0392539,0.0277936,gbpusd_m15_2025_20250110_070000_0007,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m15_2025_20250110_070000_0007.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m15_2025_20250110_070000_0007.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,13,bearish,bullish,0.00069,bearish,0.7919380068778992,0.7919380068778992,0.0706003159284591,0.1374616026878357,bullish,0.0,0.0,0.7539909250000001,0.59,LOW,WATCHLIST,False,True,ai\datasets\raw\ohlcv\GBPUSD\M15\2025\GBPUSD_M15_2025_RAW.csv,False,False,0.0,,0.0,,True,True,True,1.0,partially_mitigated,False,True,1,0.65,1.22658,1.2277,0.5125,
20,gbpusd_m5_2025_20250106_112000_0008.txt,GBPUSD,M5,2025,bearish_candidate,bearish_candidate,True,LOW,MEDIUM,REVIEW,0.504472975,0.7520091,0.2733715,0.88969275,1.0,0.71552355,0.85,0.295132,0.251611,0.008313,0.055953,0.644609,0.847222,1.0,49.0,50.0,51.0,2025-01-06 11:20:00,2025-01-06 19:35:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m5_2025_20250106_112000_0008.png,1,0.503684,0.150439,0.0261675,0.0764775,0.511997,0.206392,0.042148,0.0332651,gbpusd_m5_2025_20250106_112000_0008,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m5_2025_20250106_112000_0008.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m5_2025_20250106_112000_0008.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,50,bullish,bearish,0.00039,sideways,0.4959352016448974,0.369942843914032,0.1341219246387481,0.4959352016448974,bearish,0.55,0.4113821804523468,0.7520091,0.6838837160904694,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\M5\2025\GBPUSD_M5_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,fresh,True,False,0,1.0,1.25379,1.25471,0.5125,
21,gbpusd_h4_2025_20250124_160000_0002.txt,GBPUSD,H4,2025,bearish_candidate,bearish_candidate,True,LOW,MEDIUM,REVIEW,0.5939370500000001,0.748844325,0.4148495,0.8988628333333337,1.0,0.5841799999999999,0.85,0.469513,0.360186,0.0087219999999999,0.046194,0.512822,0.716702,2.0,15.0,16.0,17.0,2025-01-24 16:00:00,2025-02-18 04:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_h4_2025_20250124_160000_0002.png,1,0.130172,0.403725,0.023126,0.0636112,0.138894,0.449919,0.045057,0.031929,gbpusd_h4_2025_20250124_160000_0002,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_h4_2025_20250124_160000_0002.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_h4_2025_20250124_160000_0002.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,13,bullish,bearish,0.0006,sideways,0.5874221920967102,0.0746405571699142,0.3379373252391815,0.5874221920967102,bearish,0.55,0.4365411028265953,0.748844325,0.6863836805653191,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\H4\2025\GBPUSD_H4_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,mitigated,False,True,35,0.25,1.24336,1.24545,0.32499999999999996,
22,gbpusd_m5_2025_20250109_142000_0017.txt,GBPUSD,M5,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.539894625,0.7222534499999999,0.3599265,0.8564565833333333,1.0,0.54719865,0.85,0.440448,0.279405,0.006599,0.092399,0.486075,0.660714,2.0,8.0,9.0,10.0,2025-01-09 14:20:00,2025-01-09 22:35:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m5_2025_20250109_142000_0017.png,1,0.103915,0.838296,0.0228386,0.112314,0.110514,0.745897,0.0425388,0.0759411,gbpusd_m5_2025_20250109_142000_0017,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m5_2025_20250109_142000_0017.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m5_2025_20250109_142000_0017.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,10,bearish,bullish,5e-05,sideways,0.6556068658828735,0.0992084592580795,0.2451846897602081,0.6556068658828735,bullish,0.55,0.4552918881177902,0.7222534499999999,0.6688611376235579,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\M5\2025\GBPUSD_M5_2025_RAW.csv,True,False,0.65,32.0,0.1401273885351034,,True,False,True,0.7,mitigated,False,True,10,0.25,1.22869,1.22944,0.5675,
23,xauusd_m15_2025_20250116_210000_0011.txt,XAUUSD,M15,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.5116524500000001,0.701148575,0.3200665,0.8493501666666674,1.0,0.498931,0.85,0.284271,0.355862,0.0085779999999999,0.0893019999999999,0.492162,0.511502,2.0,73.0,74.0,75.0,2025-01-16 21:00:00,2025-01-17 22:45:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_m15_2025_20250116_210000_0011.png,1,0.717941,0.593148,0.0240143,0.116095,0.726519,0.503846,0.0394397,0.063698,xauusd_m15_2025_20250116_210000_0011,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_m15_2025_20250116_210000_0011.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_m15_2025_20250116_210000_0011.txt,0,0,0,auto_labeled_v5_paired_ob_fvg,ok,100,71,bearish,bullish,1.36,sideways,0.702940046787262,0.2413290441036224,0.0557309202849864,0.702940046787262,bullish,0.55,0.468308512866497,0.701148575,0.6545805625732994,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\XAUUSD\M15\2025\XAUUSD_M15_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,mitigated,False,True,14,0.25,2704.02,2707.73,0.32499999999999996,
24,gbpusd_m5_2025_20250106_194000_0009.txt,GBPUSD,M5,2025,bullish_candidate,uncertain,False,MEDIUM,LOW,WATCHLIST,0.6700363500000002,0.6135340250000001,0.559294,0.8778348333333339,0.35,1.0,0.15,0.693619,0.424969,0.0079939999999999,0.067598,,,,,,,2025-01-06 19:40:00,2025-01-07 03:55:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m5_2025_20250106_194000_0009.png,1,0.92378,0.706976,0.0241999,0.0870539,0.931774,0.639378,0.0398905,0.0499018,gbpusd_m5_2025_20250106_194000_0009,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m5_2025_20250106_194000_0009.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m5_2025_20250106_194000_0009.txt,0,0,0,auto_labeled_v5_paired_ob_fvg,ok,100,91,,,,sideways,0.9450563192367554,0.0108012650161981,0.0441424064338207,0.9450563192367554,bullish,0.55,0.5348904877901077,0.6135340250000001,0.5978053175580217,LOW,WATCHLIST,False,False,ai\datasets\raw\ohlcv\GBPUSD\M5\2025\GBPUSD_M5_2025_RAW.csv,True,True,0.8,3.0,0.014403292181163404,CHOCH,False,True,True,0.75,mitigated,False,True,5,0.25,1.25065,1.25097,0.645,
